id,language
1,Latin
2,Latin
3,Latin
4,Latin
5,Latin
6,Latin
7,Latin
10,Latin
11,Latin
12,Latin
13,Latin
14,Latin
15,Latin
16,Latin
18,Latin
20,Latin
23,Latin
24,Latin
26,Latin
27,Latin
28,Latin
29,Latin
30,Latin
31,Latin
32,Latin
33,Latin
34,Latin
35,Latin
36,Latin
37,Latin
39,Latin
40,Latin
41,Latin
44,Latin
45,Italian
46,Italian
47,Latin
48,Latin
50,Latin
52,Latin
54,Latin
57,Latin
59,Latin
61,Latin
62,Latin
63,Latin
64,Latin
65,Latin
66,Latin
67,Latin
68,Latin
69,Latin
70,Latin
71,Latin
72,Latin
73,Latin
76,Latin
77,Latin
78,Latin
81,Latin
83,Latin
84,Latin
87,Latin
89,Latin
93,Latin
95,Latin
98,Latin
99,Latin
100,Latin
101,Latin
102,Latin
103,Latin
104,Latin
108,Latin
112,Latin
114,Latin
115,Latin
117,Latin
119,Latin
120,Latin
121,Latin
122,Latin
125,Latin
126,Latin
127,Latin
130,Latin
131,Latin
135,Latin
137,Latin
141,Latin
142,Latin
143,Latin
147,Latin
152,Latin
153,Latin
154,Latin
155,Latin
156,Latin
158,Latin
159,Latin
162,Latin
163,Latin
169,Latin
171,Latin
172,Latin
173,Latin
178,Latin
179,Latin
180,Latin
192,Latin
195,Latin
200,Latin
202,Latin
203,Latin
205,Latin
207,Latin
211,Latin
214,Latin
222,Latin
223,Latin
227,Latin
229,Latin
232,Latin
235,Latin
236,Italian
237,Latin
238,Latin
241,Latin
242,Latin
246,Latin
247,Catalan
249,Latin
250,Latin
251,Latin
253,Latin
254,Latin
256,Latin
257,Latin
258,Latin
259,Latin
260,Latin
261,Latin
262,Latin
263,Latin
264,Latin
265,Latin
267,Latin
268,Latin
270,English
271,Latin
272,Latin
273,Latin
274,Latin
278,Latin
280,Latin
281,Latin
283,Latin
284,Latin
286,Latin
289,Latin
293,Latin
294,Latin
295,Latin
296,Latin
297,Latin
301,Latin
302,Latin
304,Latin
305,Latin
306,Latin
307,Latin
308,Latin
309,Latin
311,Latin
312,Latin
317,Latin
319,Latin
320,Latin
322,Latin
323,Latin
325,Latin
326,Latin
327,Latin
328,Latin
329,Latin
330,Latin
333,Latin
335,Latin
336,Latin
340,Latin
342,Latin
343,Latin
344,Latin
347,Latin
352,Latin
353,Latin
357,Latin
360,Latin
361,Latin
362,Latin
364,Latin
365,Latin
366,Latin
367,Latin
369,Latin
370,Latin
373,Latin
374,Latin
375,Latin
376,Latin
377,Latin
378,Latin
379,Latin
380,Latin
381,Latin
382,Latin
383,Latin
384,Latin
385,Latin
386,Latin
387,Latin
388,Latin
391,Latin
392,Latin
393,Latin
396,Latin
397,Latin
398,Latin
399,Latin
401,Latin
403,Latin
404,Latin
405,Latin
408,Latin
410,Latin
413,Latin
417,Latin
420,Latin
424,Latin
425,Latin
426,Latin
430,Latin
432,Latin
436,Latin
437,Latin
438,Latin
440,Latin
441,Latin
443,Latin
444,Latin
447,Latin
450,Latin
451,Latin
454,Latin
455,Latin
456,Latin
457,Latin
459,Latin
461,English
462,English
463,English
464,English
465,English
466,English
467,English
469,Latin
470,Latin
471,Latin
478,Latin
479,Latin
481,Latin
482,Latin
484,Latin
485,Latin
488,Latin
491,Latin
496,Latin
497,Latin
498,Latin
499,Latin
500,Latin
501,Latin
502,Latin
503,Latin
504,Latin
505,Latin
510,Latin
511,Latin
512,Latin
513,Latin
514,Latin
515,Latin
519,Latin
521,Latin
522,Latin
523,Latin
525,Latin
531,Latin
534,English
535,English
536,Latin
537,Latin
538,Latin
539,Latin
541,English
542,English
543,English
544,English
545,English
546,English
547,English
548,English
549,English
550,English
551,English
552,English
553,English
554,English
555,English
556,English
557,English
558,English
559,English
560,English
561,English
562,English
563,English
564,English
565,English
566,English
567,English
568,English
569,English
570,English
571,English
572,English
573,English
575,English
576,English
577,English
578,English
579,English
580,English
581,English
582,English
583,Latin
584,English
585,English
586,English
587,English
588,English
589,English
